population,renter_occupied_households,pct_renter_occupied,evictions,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,poverty_rate,pct_civilian_labor,pct_unemployment,pct_uninsured_adults,pct_uninsured_children,pct_adult_obesity,pct_adult_smoking,pct_diabetes,pct_excessive_drinking,pct_physical_inactivity,air_pollution_particulate_matter_value,homicides_per_100k,motor_vehicle_crash_deaths_per_100k,heart_disease_mortality_per_100k,pct_female,pct_below_18_years_of_age,pct_aged_65_years_and_older,pct_adults_less_than_a_high_school_diploma,pct_adults_with_high_school_diploma,pct_adults_with_some_college,pct_adults_bachelors_or_higher,birth_rate_per_1k,death_rate_per_1k,gross_rent
343147,46386,31.993,741,28.663,0.655241996,0.239928076,0.046760901,0.005534189,0.024464312,0.000899056,0.025353379,0.001818091,10.115,0.483,0.062,0.19,0.049,0.301,0.183,0.117,0.113,0.264,12.86457628,5.38,15.82,227,0.506,0.232,0.13,0.092537313,0.212935323,0.300497512,0.394029851,12.03458544,7.766655904,867
1850,105,16.007,0,20.602,0.931531767,0.002100376,0.054589673,0,0,0.001115511,0.010160191,0.000502482,16.932,0.312,0.072,0.262,0.167,0.243,,0.098,,0.287,10.97439794,,,275,0.495,0.279,0.238,0.165662651,0.397590361,0.261044177,0.175702811,12.69629135,27.39726027,285
55555,7745,34.254,86,29.536,0.808763659,0.031353351,0.105077454,0.00470451,0.024919832,0.00080419,0.023773862,0.000603142,11.916,0.558,0.042,0.19,0.066,0.319,0.178,0.102,0.154,0.243,10.69740264,4.7,8.39,254,0.507,0.249,0.151,0.101202405,0.332665331,0.332665331,0.233466934,13.28658756,10.35598706,692
55208,5307,23.092,167,29.479,0.741879606,0.170888738,0.063401153,0.003224127,0.002112704,0.000500641,0.016991749,0.001001282,12.747,0.448,0.071,0.243,0.087,0.294,0.283,0.115,0.174,0.267,12.03158155,3.82,25.83,240,0.501,0.223,0.163,0.1444333,0.309929789,0.332998997,0.212637914,10.79748419,9.46579447,770
85055,11229,31.422,422,30.079,0.672116832,0.277526849,0.024932249,0.001806685,0.006885476,0.000100371,0.012004416,0.00462712,15.674,0.455,0.072,0.219,0.07,0.301,0.232,0.123,0.091,0.315,12.30409713,3.97,22.78,338,0.521,0.261,0.137,0.161838162,0.276723277,0.343656344,0.217782218,13.66667839,10.44340518,700
31313,3466,26.508,6,32.668,0.952288344,0.005834306,0.013872682,0.004458008,0.007439986,0,0.015807478,0.000299195,8.677,0.497,0.049,0.113,0.027,0.281,0.179,0.082,0.153,0.224,10.63720536,,14.25,222,0.505,0.213,0.165,0.098196393,0.358717435,0.271543086,0.271543086,9.986630801,9.728911296,801
64945,7591,27.652,227,35.626,0.756467761,0.13752503,0.077462956,0.000901081,0.009120945,0.00010012,0.017130557,0.00129155,9.655,0.48,0.085,0.162,0.051,0.331,0.246,0.113,0.144,0.295,11.73486049,3.35,19.12,300,0.51,0.226,0.159,0.136318408,0.387064677,0.274626866,0.20199005,10.36165416,10.88668582,990
53332,7256,51.303,79,26.608,0.70233535,0.111646747,0.103155473,0.007861179,0.026664,0.007051058,0.040596089,0.000690104,12.555,0.288,0.072,0.212,0.096,0.345,0.23,0.086,0.218,0.273,9.872592098,3.27,20.84,350,0.44,0.235,0.074,0.102897103,0.310689311,0.346653347,0.23976024,15.23003505,5.927969577,751
213132,18431,26.989,1193,30.155,0.495890851,0.382000121,0.062933269,0.000803745,0.030291157,0,0.026352804,0.001728053,10.469,0.481,0.073,0.22,0.095,0.286,0.206,0.096,0.132,0.245,13.48303821,4.4,13.57,277,0.517,0.277,0.093,0.103688933,0.304087737,0.321036889,0.271186441,11.56178476,6.012128076,977
16885,1704,21.323,,25.938,0.963546748,0.009505608,0.009425137,0.001508827,0.009616255,0.000814766,0.005180305,0.000402354,13.714,0.452,0.053,0.234,0.055,0.33,0.256,0.118,0.093,0.376,13.32337139,,16.35,316,0.49,0.202,0.171,0.148258706,0.43681592,0.248756219,0.166169154,10.40319737,10.57952275,577
7425,1085,43.092,6,26.458,0.596752516,0.000686929,0.376457236,0.001095105,0.006411341,9.96E-05,0.018497317,0,6.651,0.609,0.046,0.31,0.165,0.193,0.145,0.049,0.17,0.176,12.2492791,,23.25,207,0.466,0.246,0.1,0.080240722,0.355065196,0.289869609,0.274824473,10.92373865,5.871509524,920
41262,5464,32.597,280,28.898,0.717498816,0.134345947,0.127607498,0.000201448,0.008440689,0.000201448,0.007151419,0.004552734,16.554,0.45,0.077,0.304,0.105,0.264,0.227,0.134,,0.283,12.96954344,6.72,22.17,403,0.503,0.263,0.142,0.24774323,0.38114343,0.239719157,0.131394183,13.67842296,11.82537457,663
52913,6815,32.953,,27.79,0.56337759,0.312613156,0.061617381,0.011536914,0.016314625,0,0.034037417,0.000502917,18.94,0.474,0.063,0.304,0.071,0.382,0.222,0.127,0.141,0.325,11.58129724,7.2,23.27,297,0.506,0.248,0.137,0.248255234,0.435692921,0.205383848,0.110667996,15.17351192,9.81595092,682
11462,796,15.918,4,25.311,0.933912522,0.001487917,0.021360096,0.011953265,0.002286798,0,0.028999401,0,7.717,0.492,0.046,0.187,0.129,0.203,0.169,0.074,0.165,0.212,11.21645976,,28.86,237,0.494,0.218,0.169,0.052947053,0.286713287,0.336663337,0.323676324,7.104487957,8.923929995,651
12471,1360,25.924,33,30.644,0.961326022,0.005751515,0.014081295,0.000594984,0.002459268,0,0.015489424,0.000297492,10.661,0.425,0.073,0.21,0.076,0.337,0.294,0.122,0.142,0.304,13.44828404,,19.72,278,0.51,0.221,0.19,0.146146146,0.493493493,0.26026026,0.1001001,10.22173931,13.84361544,562
45113,6944,36.915,680,33.346,0.411770568,0.493144133,0.070651307,0.002580915,0.00461376,0.000199298,0.016033562,0.001006457,18.429,0.407,0.092,0.239,0.069,0.331,0.276,0.143,0.078,0.315,12.28033505,14.01,17.21,318,0.533,0.249,0.151,0.233233233,0.374374374,0.279279279,0.113113113,12.91512915,11.20511205,713
76625,7335,23.587,44,31.224,0.872123629,0.064177468,0.036969093,0.003190429,0.008783649,0.000299103,0.014057827,0.000398804,9.165,0.473,0.06,0.218,0.113,0.278,0.201,0.103,0.139,0.238,12.20000406,4.33,28.06,240,0.51,0.21,0.185,0.104104104,0.358358358,0.308308308,0.229229229,9.736932012,9.552968385,985
38415,4307,28.788,,27.095,0.925560171,0.008437512,0.045193114,0.00269601,0.005382035,9.99E-05,0.012631306,0,9.613,0.492,0.054,0.203,0.084,0.31,0.233,0.106,0.155,0.284,13.61813878,,23.63,302,0.494,0.233,0.162,0.116883117,0.440559441,0.281718282,0.160839161,11.37557797,10.16708701,683
67784,8424,27.351,89,28.858,0.906639629,0.041309454,0.023581023,0.002519726,0.009526773,0.000200775,0.015921457,0.000301162,11.008,0.466,0.071,0.166,0.03,0.305,0.212,0.085,0.137,0.291,13.25629497,2.08,18.55,265,0.507,0.22,0.172,0.102794411,0.30239521,0.386227545,0.208582834,11.54842397,10.93983093,629
43187,4339,25.258,39,29.875,0.779330306,0.038255402,0.136014771,0.002006088,0.021867359,0.001596886,0.012046509,0.008882679,12.321,0.438,0.071,0.312,0.131,0.276,0.251,0.106,,0.265,13.48647666,,23.25,241,0.529,0.234,0.162,0.21812749,0.34063745,0.265936255,0.175298805,11.01516598,8.968506744,697
27082,2605,19.048,71,29.91,0.916380241,0.016186403,0.028546021,0.0167859,0.003686903,0,0.017914951,0.00049958,13.102,0.406,0.071,0.255,0.095,0.274,0.25,0.136,0.09,0.302,13.49140246,4.31,18.05,285,0.512,0.183,0.248,0.171342685,0.334669339,0.308617234,0.185370741,8.241555178,14.08086333,585
17388,2382,33.549,38,26.472,0.824150187,0.01405766,0.030150504,0.000794218,0.07867723,0,0.033009689,0.019160511,8.004,0.517,0.044,0.17,0.068,0.299,0.216,0.095,,0.228,10.24162124,,18.99,271,0.468,0.175,0.169,0.056829511,0.302093719,0.321036889,0.32003988,8.645205324,9.668979638,695
107835,16832,36.702,803,28.944,0.91479357,0.013182094,0.016999533,0.001302303,0.00797288,0,0.045550795,0.000198825,11.508,0.525,0.054,0.144,0.047,0.315,0.185,0.101,0.166,0.251,10.3267722,2.26,10.61,228,0.51,0.221,0.149,0.113772455,0.373253493,0.310379242,0.20259481,11.7144214,9.395748168,705
5235503,870180,42.897,13078,31.353,0.431324772,0.234995706,0.248257405,0.001008608,0.067476882,0.000199724,0.015149094,0.001587809,13.334,0.51,0.075,0.24,0.047,0.264,0.183,0.092,0.213,0.223,13.04121445,10.58,7.46,267,0.515,0.234,0.125,0.148,0.241,0.256,0.355,13.21508765,7.447657277,1042
23438,2388,21.483,40,31.344,0.969631302,0.011268571,0.005231117,0.001411091,0.001904973,0,0.010149777,0.000403169,17.869,0.394,0.089,0.192,0.069,0.332,0.399,0.129,,0.305,13.28021044,,18.35,335,0.514,0.221,0.166,0.158208955,0.43681592,0.275621891,0.129353234,10.89836738,11.36849303,514
29059,2186,19.316,104,28.991,0.640432932,0.283794048,0.039395575,0.006106214,0.007885111,0,0.020067558,0.002318562,9.884,0.493,0.062,0.191,0.078,0.298,0.21,0.119,0.129,0.248,12.43403348,4.3,23.34,264,0.513,0.237,0.142,0.177532598,0.367101304,0.262788365,0.192577733,14.92461546,8.054554377,939
21687,2074,22.935,32,39.838,0.981956096,0.004832471,0.001105139,0.001808409,0.00269252,0,0.007605365,0,20.98,0.346,0.095,0.245,0.057,0.381,0.296,0.134,0.106,0.378,13.30230977,,36.43,321,0.508,0.225,0.161,0.216432866,0.434869739,0.253507014,0.095190381,13.5301068,11.7230035,586
20570,2264,24.798,25,27.958,0.945870076,0.01078234,0.021802744,0.002380645,0.007568468,0,0.011595727,0,7.365,0.536,0.05,0.15,0.046,0.351,0.209,0.091,0.222,0.271,11.47334164,,16.91,246,0.505,0.221,0.199,0.104895105,0.392607393,0.317682318,0.184815185,9.492819221,13.01592739,588
7744,721,22.247,1,25.005,0.533008143,0.000100161,0.455904005,0.004186741,0,0,0.005388676,0.001412274,6.83,0.512,0.034,0.243,0.105,0.335,0.166,0.095,0.195,0.254,12.75211898,,35.12,259,0.488,0.323,0.105,0.286286286,0.286286286,0.245245245,0.182182182,16.1745828,5.905006419,704
43066,5020,29.338,100,31.796,0.95748556,0.012296484,0.008261386,0.001006259,0.003552094,0,0.017398217,0,15.959,0.402,0.078,0.205,0.072,0.33,0.264,0.116,,0.336,13.29083358,,21.04,290,0.513,0.245,0.164,0.155223881,0.431840796,0.292537313,0.12039801,13.46256159,10.91809119,591
242363,28640,29.244,359,28.416,0.879189742,0.033378237,0.032320511,0.000798284,0.033408172,0,0.020096792,0.000808262,5.644,0.516,0.045,0.112,0.054,0.255,0.15,0.092,0.143,0.219,12.92506046,1,11.06,257,0.504,0.203,0.164,0.085,0.347,0.239,0.329,11.02785006,8.751345488,870
67181,8105,29.213,92,28.483,0.925247933,0.037445524,0.013898127,0.001082068,0.008199895,0.000595634,0.012935185,0.000595634,10.314,0.49,0.053,0.155,0.033,0.304,0.294,0.092,0.163,0.285,10.68630429,1.77,9.38,247,0.512,0.229,0.178,0.086826347,0.360279441,0.340319361,0.21257485,12.69883905,11.26630256,670
625272,56766,23.753,695,30.808,0.85569895,0.037163171,0.047091275,0.001194957,0.04317779,0,0.014170202,0.001503655,4.201,0.54,0.052,0.105,0.042,0.258,0.165,0.096,0.19,0.242,11.54196808,1.61,8.16,219,0.507,0.221,0.155,0.065326633,0.306532663,0.254271357,0.373869347,9.492376705,8.962004933,1077
44784,3551,21.069,109,24.224,0.779322007,0.090162294,0.055001901,0.036641252,0.005853395,0,0.032718977,0.000300174,8.578,0.465,0.04,0.242,0.098,0.339,0.226,0.127,0.182,0.306,10.21316199,2.69,16.97,279,0.508,0.245,0.144,0.097902098,0.346653347,0.294705295,0.260739261,10.59830204,7.474591965,844
35357,3695,27.439,,30.47,0.897595212,0.042240359,0.030440099,0.00287302,0.007117933,0.000298237,0.019236313,0.000198825,7.529,0.444,0.057,0.14,0.049,0.284,0.231,0.095,0.113,0.287,12.1558247,,13.76,246,0.472,0.204,0.165,0.146292585,0.343687375,0.30761523,0.20240481,11.68490652,9.632922937,761
705,90,29.297,0,16.157,0.981566449,0.001421844,0,0,0.00564704,0,0.011364668,0,11.335,0.779,0.027,0.241,0.138,0.273,0.135,0.104,0.171,0.387,11.81371314,,,192,0.503,0.206,0.262,0.078842315,0.421157685,0.344311377,0.155688623,5,8.75,488
25721,2590,25.336,7,33.324,0.913927435,0.017527758,0.020111531,0.023473429,0.000897836,0,0.023662972,0.000399038,13.268,0.367,0.079,0.247,0.096,0.341,0.307,0.102,0.114,0.367,10.15807834,,34.94,306,0.487,0.219,0.187,0.173306773,0.437250996,0.259960159,0.129482072,11.50837771,11.74244641,567
14604,1553,25.34,,23.559,0.96945934,0.00404185,0.012720235,0.000403177,0.003749546,0,0.009525057,0.000100794,9.671,0.49,0.058,0.161,0.036,0.308,0.262,0.097,,0.286,14.02654063,,13.4,317,0.518,0.217,0.213,0.123493976,0.351405622,0.388554217,0.136546185,10.81643266,14.56058242,543
20308,2332,31.249,,23.827,0.63729114,0.026498404,0.244810603,0.000100716,0.076896736,0.008832801,0.005066019,0.00050358,9.024,0.556,0.04,0.191,0.067,0.275,0.116,0.084,0.19,0.254,11.51447463,,13.31,233,0.494,0.249,0.146,0.211519364,0.309831182,0.289970209,0.188679245,16.5615334,9.985630434,665
177204,26225,37.502,456,35.578,0.813562018,0.009803629,0.090469799,0.022182451,0.026159582,0.002068108,0.035356699,0.000397713,11.101,0.415,0.096,0.218,0.076,0.279,0.252,0.09,0.196,0.201,9.624811061,3.13,14.06,289,0.506,0.218,0.181,0.107214429,0.25751503,0.437875752,0.19739479,11.94049819,11.78441325,893
20315,2312,25.794,19,26.616,0.60042842,0.001991952,0.253758684,0.122079638,0.007847691,0.002692639,0.011200977,0,12.208,0.388,0.075,0.293,0.19,0.313,0.186,0.135,0.203,0.315,10.67912765,5.99,41.22,184,0.485,0.178,0.346,0.242,0.368,0.291,0.099,10.51803794,12.13997837,711
3928,394,26.986,0,19.842,0.970008921,0.006846226,0.008079148,0,0.002836723,0,0.012228983,0,6.185,0.576,0.034,0.15,0.058,0.335,,0.093,,0.288,9.17408556,,,264,0.508,0.204,0.218,0.073926074,0.392607393,0.383616384,0.14985015,13.41070277,12.12121212,540
16092,1255,17.573,10,34.278,0.903181621,0,0.057136239,0.010957911,0.009588172,0.007694709,0.011441348,0,3.194,0.581,0.046,0.19,0.14,0.182,0.157,0.052,0.209,0.189,12.3409187,,20.11,154,0.477,0.173,0.141,0.042957043,0.255744256,0.406593407,0.294705295,5.923366447,5.121243907,1036
11987,1280,25.471,1,32.448,0.957501565,0.01626606,0.013891235,0.000904222,0.00019873,0,0.011238188,0,18.799,0.388,0.09,0.235,0.079,0.341,0.321,0.132,0.134,0.353,13.04907933,,29.7,360,0.503,0.247,0.155,0.245737212,0.391173521,0.241725176,0.121364092,13.48388965,11.08491542,531
167829,15845,23.123,403,28.239,0.84541058,0.03164431,0.092196394,0.002209131,0.014110576,0.000696573,0.013035864,0.000696573,9.018,0.497,0.062,0.164,0.065,0.294,0.216,0.099,0.188,0.279,13.05525328,1.14,13.58,241,0.507,0.234,0.134,0.080436941,0.350546177,0.304865938,0.264150943,10.88987924,8.152434349,840
30349,3748,24.871,19,32.172,0.885770755,0.00791578,0.034365578,0.021649911,0.016325666,0.001411731,0.032560578,0,5.941,0.371,0.079,0.187,0.072,0.251,0.146,0.094,0.154,0.167,11.19422098,,16.13,184,0.501,0.14,0.292,0.059118236,0.231462926,0.340681363,0.368737475,6.439192778,10.8204992,826
49393,6761,34.351,30,27.065,0.928714437,0.014845736,0.024936433,0.000900955,0.008559073,0.000400424,0.019750936,0.001892006,7.779,0.49,0.065,0.122,0.04,0.27,0.214,0.092,0.129,0.262,12.09437231,,9.24,266,0.512,0.202,0.141,0.101405622,0.346385542,0.317269076,0.234939759,9.968032846,8.190945023,731
6997,639,20.679,5,23.931,0.976948605,0.002312116,0.004913246,0,0.005929779,0,0.009896254,0,10.805,0.485,0.064,0.254,0.069,0.299,0.259,0.122,,0.384,13.18522314,,20.96,298,0.497,0.192,0.211,0.125498008,0.527888446,0.206175299,0.140438247,8.966664256,13.30537277,523
6020,647,21.226,3,27.929,0.989214405,0.009507963,0,0,0,0,0,0.001277633,3.675,0.533,0.069,0.181,0.094,0.31,0.283,0.113,,0.289,13.44540496,,,280,0.501,0.206,0.182,0.124501992,0.496015936,0.250996016,0.128486056,9.800664452,10.79734219,800
13515,1224,21.851,,33.303,0.957834554,0.011980625,0.017956048,0.002064598,0.002173784,0.002689933,0.005300459,0,16.754,0.362,0.076,0.273,0.083,0.301,0.255,0.109,,0.348,11.7761496,,18.9,308,0.489,0.188,0.248,0.177290837,0.401394422,0.293824701,0.12749004,8.923923552,14.5757418,496
65501,5688,26.338,117,28.534,0.843170388,0.038185036,0.078399808,0.004969354,0.02276704,0.000799896,0.011408517,0.000299961,7.574,0.536,0.041,0.119,0.074,0.257,0.104,0.078,0.142,0.205,12.30246629,,11.69,186,0.489,0.228,0.132,0.094621514,0.316733068,0.311752988,0.27689243,10.92475173,7.041765218,766
15370,1965,26.408,,32.11,0.960370448,0.003602687,0.017235013,0.003293315,0.000898177,0,0.013991597,0.000608764,16.115,0.419,0.078,0.274,0.062,0.321,0.212,0.126,,0.366,12.6356713,,32.14,403,0.511,0.216,0.208,0.211940299,0.43880597,0.239800995,0.109452736,11.42669512,16.68034806,458
450074,57070,43.32,892,33.238,0.305014843,0.013179654,0.627502939,0.006744237,0.0316491,0.001205395,0.014106115,0.000597717,23.193,0.434,0.13,0.318,0.107,0.294,0.144,0.073,0.194,0.216,10.17176229,8.22,20,292,0.5,0.319,0.099,0.312687313,0.253746254,0.294705295,0.138861139,16.67126642,6.155240036,905
228858,27025,29.829,1279,26.62,0.828288969,0.052579652,0.063761299,0.003557797,0.020689037,0.001704155,0.028123536,0.001295556,6.3,0.557,0.054,0.158,0.067,0.284,0.209,0.102,0.174,0.257,8.839951432,3.19,12.77,221,0.51,0.254,0.121,0.079840319,0.28742515,0.323353293,0.309381238,13.10643695,7.027776759,940
221561,38358,41.382,608,36.727,0.739166783,0.013485539,0.150819085,0.00688708,0.042297816,0.001582436,0.045064591,0.00069667,13.132,0.45,0.086,0.233,0.097,0.245,0.192,0.081,0.205,0.167,8.839355885,3.14,17.02,260,0.502,0.206,0.161,0.119238477,0.228456914,0.392785571,0.259519038,11.21746733,9.715528257,934
2885,265,30.542,10,25.628,0.608725672,0.065382499,0.26486216,0.007324761,0.01560014,0,0.038104768,0,16.13,0.457,0.04,0.322,0.158,0.343,,0.127,,0.361,9.68740541,,,346,0.519,0.253,0.182,0.208374875,0.266201396,0.296111665,0.229312064,11.96551117,14.07707197,544
8708,688,16.883,-1,24.358,0.889550934,0.006345707,0.079445471,0.013386562,0.004677352,0,0.006593974,0,5.372,0.485,0.045,0.273,0.184,0.294,,0.125,,0.281,9.543103291,,15.77,240,0.497,0.223,0.177,0.113113113,0.364364364,0.314314314,0.208208208,7.747963311,9.457072865,722
46802,4193,25.663,27,24.636,0.35103574,0.007721969,0.626764844,0.001394936,0.002799837,0,0.009585206,0.000697468,13.485,0.43,0.049,0.328,0.137,0.307,0.382,0.103,,0.262,8.324036308,5.56,16.08,290,0.51,0.282,0.134,0.241241241,0.358358358,0.26026026,0.14014014,13.87234491,8.749275286,836
1218,139,15.06,0,24.756,0.979462014,0,0.006532978,0.002423361,0,0,0.011581647,0,7.162,0.589,0.033,0.319,0.224,0.239,,0.081,,0.299,10.23075774,,,247,0.489,0.173,0.24,0.067,0.383,0.393,0.157,13.71036847,13.71036847,522
1946,283,23.953,0,26.085,0.972505805,0.006155417,0.012450957,0,0,0,0.008887821,0,3.7,0.599,0.026,0.244,0.124,0.274,0.112,0.099,0.178,0.276,12.05835361,,,255,0.511,0.199,0.276,0.058941059,0.397602398,0.380619381,0.162837163,9.497625594,13.99650088,557
391466,37687,23.703,327,27.054,0.896062079,0.013789724,0.045159097,0.001399972,0.029239415,0.000199996,0.013549729,0.000599988,3.564,0.56,0.044,0.072,0.029,0.247,0.161,0.074,0.244,0.183,12.31281579,-0.11,7.63,194,0.509,0.229,0.153,0.04278607,0.243781095,0.300497512,0.412935323,9.781592568,8.291932783,974
52818,5466,27.945,95,24.01,0.961708483,0.008380028,0.011317048,0.000701677,0.005402913,0,0.012289372,0.000200479,10.528,0.48,0.06,0.184,0.073,0.305,0.224,0.11,,0.273,13.7236483,,12.61,268,0.511,0.229,0.167,0.123742455,0.427565392,0.245472837,0.203219316,12.21379783,9.940152391,673
6096,486,17.155,5,24.627,0.945795435,0.002600145,0.027087339,0.001703544,0,0,0.022813537,0,5.877,0.542,0.041,0.162,0.079,0.327,0.116,0.101,0.096,0.296,10.63610892,,,287,0.479,0.245,0.177,0.07007007,0.327327327,0.39039039,0.212212212,7.939133311,9.096923586,606
53331,4560,22.449,169,26.831,0.911216506,0.023129827,0.014802284,0.003010805,0.027238216,0,0.017370027,0.003232335,6.335,0.5,0.045,0.125,0.055,0.343,0.186,0.098,0.219,0.256,13.66646549,,11.71,230,0.523,0.264,0.106,0.078234704,0.368104313,0.290872618,0.262788365,11.01074948,6.662436548,844
99869,11876,28.183,,27.834,0.558353321,0.382615939,0.028200676,0.001314693,0.0233333,0.000100358,0.00557992,0.000501791,9.709,0.486,0.053,0.181,0.078,0.317,0.137,0.114,0.149,0.274,12.39479074,9.21,15.16,325,0.521,0.264,0.114,0.101898102,0.158841159,0.277722278,0.461538462,13.11637814,9.490551552,906
44520,6872,39.684,117,33.123,0.580127981,0.360723163,0.033592557,0.000299488,0.008715097,0,0.015942738,0.000598976,19.719,0.381,0.088,0.263,0.094,0.325,0.22,0.136,0.138,0.259,12.01378262,5.83,18.15,300,0.522,0.244,0.16,0.189243028,0.327689243,0.291832669,0.19123506,13.58019203,10.75746799,706
43791,4485,31.247,25,29.142,0.753592294,0.13174592,0.089332221,0.003449004,0.002916068,0,0.015666321,0.003298173,19.311,0.411,0.063,0.282,0.132,0.309,0.246,0.125,0.137,0.302,11.73896829,5.01,30.46,317,0.484,0.22,0.187,0.213213213,0.405405405,0.264264264,0.117117117,10.60382242,12.50472363,654
6991,1069,39.244,0,23.71,0.525787923,0.011937466,0.42512362,0.011168273,0.009679836,0,0.010199291,0.006103591,15.321,0.554,0.029,0.415,0.21,0.285,,0.09,,0.269,11.12401991,,29.04,397,0.48,0.308,0.087,0.254745255,0.334665335,0.298701299,0.111888112,19.97450064,6.799830004,643
33419,2027,12.317,51,26.788,0.931870391,0.03448797,0.014206263,0.00319389,0.00152138,0,0.013118124,0.001601983,5.519,0.533,0.049,0.138,0.061,0.271,0.143,0.104,,0.239,12.94986155,,12.73,269,0.507,0.214,0.183,0.089178357,0.350701403,0.296593186,0.263527054,8.130818523,9.763027445,823
16981,1675,25.373,-1,23.254,0.957142137,0.004416881,0.023718046,0.003660566,0.001119347,0,0.009943024,0,9.358,0.49,0.07,0.188,0.082,0.306,0.275,0.123,0.128,0.311,13.62452118,,28.59,311,0.5,0.236,0.181,0.123629113,0.440677966,0.30109671,0.134596211,12.32803288,11.73247573,587
1343,227,32.278,-1,27.132,0.837895302,0.000695472,0.154057088,0.002205641,0,0,0.005146496,0,6.629,0.599,0.036,0.269,0.185,0.219,,0.065,,0.191,13.75327673,,,172,0.473,0.178,0.211,0.124875125,0.416583417,0.277722278,0.180819181,12.36363636,8.727272727,733
17401,1580,19.929,12,24.773,0.661785771,0.122503183,0.197119211,0.001989495,0.003959096,0,0.012643244,0,12.232,0.439,0.047,0.319,0.174,0.319,,0.118,,0.313,8.749705543,,36.01,282,0.502,0.232,0.181,0.218687873,0.364811133,0.268389662,0.148111332,11.02407891,12.06846533,639
441053,66044,35.722,2275,29.426,0.831278066,0.088911559,0.037784912,0.001790233,0.020092612,0.000500065,0.017852321,0.001790233,10.968,0.506,0.054,0.182,0.053,0.297,0.186,0.104,0.102,0.294,13.33834664,6.68,16.47,272,0.517,0.215,0.137,0.097706879,0.266201396,0.29112662,0.344965105,11.5188526,9.248697406,812
138994,16227,26.385,354,27.839,0.930841792,0.032163597,0.015260028,0.000707221,0.004850936,0.000298826,0.015180341,0.00069726,10.349,0.459,0.07,0.136,0.046,0.359,0.198,0.125,0.185,0.306,13.51348888,2.36,14.04,296,0.502,0.193,0.194,0.103896104,0.45954046,0.244755245,0.191808192,9.249006709,12.74452333,650
105908,15832,33.016,,29.268,0.805585414,0.011783615,0.047144508,0.07662866,0.010879502,0.000502285,0.046873273,0.000602742,8.367,0.497,0.034,0.181,0.06,0.27,0.213,0.087,0.172,0.238,10.86784878,1.07,11.11,204,0.496,0.242,0.143,0.073293173,0.282128514,0.361445783,0.28313253,14.58681583,7.078621256,760
779,64,21.549,0,10.011,0.50543549,0,0.479104672,0.015459837,0,0,0,0,14.008,1,0.02,0.26,0.199,0.298,,0.121,,0.301,8.335862682,,,242,0.482,0.179,0.254,0.238761239,0.287712288,0.318681319,0.154845155,8.962868118,10.24327785,566
20320,2032,21.542,36,28.497,0.685680685,0.034999196,0.024123512,0.145856787,0.004583467,0,0.104756353,0,15.815,0.353,0.092,0.321,0.141,0.349,0.281,0.148,0.092,0.351,10.62355345,7.9,27.29,358,0.5,0.203,0.241,0.175,0.377,0.309,0.139,11.68581431,16.56723041,571
10079,997,19.984,-1,20.229,0.958115654,0.005743739,0.025582115,0.000199782,0,0.000299673,0.009659471,0.000399564,4.827,0.559,0.039,0.142,0.064,0.294,0.208,0.096,0.265,0.259,11.02571752,,31.44,250,0.51,0.221,0.223,0.080919081,0.392607393,0.328671329,0.197802198,13.22725012,14.91795127,553
10101,1149,26.777,2,40.776,0.789300395,0,0.172396935,0.006285669,0.00846071,0,0.019984435,0.003571856,14.258,0.456,0.066,0.304,0.137,0.288,0.168,0.116,0.103,0.266,9.089032949,,,254,0.507,0.241,0.215,0.172482552,0.345962114,0.341974078,0.139581256,11.81122066,13.5128372,630
20933,2560,31.385,2,31.006,0.822079961,0.007448565,0.120455369,0.027720739,0.004388614,0.002395619,0.015511133,0,10.945,0.457,0.077,0.239,0.08,0.278,0.16,0.093,0.153,0.229,10.26486163,,17.74,213,0.499,0.212,0.195,0.112549801,0.289840637,0.362549801,0.235059761,9.683372882,8.724623092,753
1584423,269859,47.579,1824,31.206,0.328454909,0.112893505,0.228016956,0.003093798,0.274363662,0.008397453,0.04214798,0.002631738,8.466,0.505,0.058,0.181,0.059,0.207,0.107,0.079,0.194,0.16,8.505478421,9.69,7.05,195,0.507,0.223,0.118,0.131,0.184,0.256,0.429,12.22221038,5.831803075,1362
87696,5663,16.923,403,30.868,0.922924722,0.012830737,0.044468448,0.002503558,0.004754742,0.00010095,0.012214943,0.0002019,7.699,0.45,0.096,0.167,0.046,0.333,0.212,0.096,0.157,0.263,12.23677224,0.9,13.91,304,0.501,0.23,0.148,0.091091091,0.373373373,0.359359359,0.176176176,9.062896502,8.926953054,770
14463,1512,25.323,,19.979,0.608057368,0.069677805,0.307723719,0,0.00207161,0.000497983,0.011473532,0.000497983,7.734,0.52,0.039,0.283,0.149,0.318,,0.109,,0.26,8.581071683,,21.45,289,0.507,0.256,0.171,0.190571715,0.341023069,0.293881645,0.174523571,13.6757952,10.54601123,690
51254,6543,29.858,97,21.721,0.674983129,0.011532922,0.239048761,0.05176217,0.009246482,0.002427453,0.010898359,0.000100724,8.55,0.535,0.056,0.242,0.181,0.327,0.243,0.076,0.244,0.212,12.70272219,,18.88,251,0.476,0.287,0.091,0.165330661,0.268537074,0.384769539,0.181362725,14.02313723,4.870994749,803
